Order_ID,Customer_Name,Product,Price,Quantity,Total_Sales,Date,Discount (%),Rating
101,Alice,Laptop,750.0,1.0,750.0,2024-02-01,10.0,4.5
102,Bob,Phone,500.0,2.0,1000.0,2024-02-02,,4.0
103,,Tablet,,1.0,,,5.0,
104,David,Laptop,800.0,1.0,800.0,2024-02-04,15.0,5.0
105,Eva,Tablet,400.0,,400.0,2024-02-05,10.0,3.8
106,Frank,Phone,,3.0,,2024-02-06,,
107,,Laptop,900.0,2.0,1800.0,2024-02-07,20.0,4.2
108,Hannah,Tablet,450.0,1.0,450.0,2024-02-08,5.0,4.7
109,Ian,Phone,550.0,2.0,1100.0,,,4.0
110,Julia,Laptop,700.0,,700.0,2024-02-10,15.0,
